""	"FUENTE"	"PMID"
"1"	"GEO"	26381263
"2"	"GEO"	20153402
"3"	"GEO"	NA
"4"	"GEO"	22194714
"5"	"GEO"	26506053
"6"	"GEO"	23981442
"7"	"GEO"	20477762
"8"	"GEO"	NA
"9"	"GEO"	26341662
"10"	"GEO"	26341662
"11"	"GEO"	26385458
"12"	"GWASdb"	23533358
"13"	"GWASdb"	17099884
"14"	"GWASdb"	23216389
"15"	"GWASdb"	20158304
"16"	"GWASdb"	22488850
"17"	"GWASdb"	23422394
"18"	"GWASdb"	24277619
"19"	"GWASdb"	21665994
"20"	"GWASdb"	14
"21"	"GWASdb"	1
"22"	"GWASdb"	12
"23"	"GWASdb"	3
"24"	"GWASdb"	10
"25"	"GWASdb"	5
"26"	"GWASdb"	6
"27"	"GWASdb"	2
"28"	"GWASdb"	8
"29"	"GWASdb"	4
"30"	"GWASdb"	7
"31"	"GWASdb"	9
"32"	"GWASdb"	11
"33"	"GWASdb"	13
"34"	"GWASdb"	22481050
"35"	"GWASdb"	24962325
"36"	"GWASdb"	23456092
"37"	"GWASdb"	22004471
"38"	"GWASdb"	19581569
"39"	"GWASdb"	23691058
"40"	"GWASdb"	22096494
"41"	"GWASdb"	23455491
"42"	"GWASdb"	23089632
"43"	"GWASdb"	21956439
"44"	"GWASdb"	21703634
"45"	"GWASdb"	21314694
"46"	"GWASdb"	20202923
"47"	"GWASdb"	20201924
"48"	"GWASdb"	23942779
"49"	"GWASdb"	21876473
"50"	"GWASdb"	23555315
"51"	"GWASdb"	21529783
"52"	"GWASdb"	22072270
"53"	"GWASdb"	23077488
"54"	"GWASdb"	20345837
"55"	"GWASdb"	24047446
"56"	"GWASdb"	21668797
"57"	"GWASdb"	22823124
"58"	"GWASdb"	23958962
"59"	"GWASdb"	21357676
"60"	"GWASdb"	21876539
"61"	"GWASdb"	22064162
"62"	"GWASdb"	23364009
"63"	"GWASdb"	21372407
"64"	"GWASdb"	16522833
"65"	"GWASdb"	18089957
"66"	"GWASdb"	10233211
"67"	"GWASdb"	15037869
"68"	"GWASdb"	16476706
"69"	"GWASdb"	19373123
"70"	"GWASdb"	18162312
"71"	"GWASdb"	17555717
"72"	"GWASdb"	17192893
"73"	"GWASdb"	15820225
"74"	"GWASdb"	17606665
"75"	"GWASdb"	17606663
"76"	"GWASdb"	17606664
"77"	"GWASdb"	17156920
"78"	"GWASdb"	19756153
"79"	"GWASdb"	18270208
"80"	"GWASdb"	17015050
"81"	"GWASdb"	14515060
"82"	"GWASdb"	18695978
"83"	"GWASdb"	17909004
"84"	"GWASdb"	18300939
"85"	"GWASdb"	18618000
"86"	"GWASdb"	19290018
"87"	"GWASdb"	15879433
"88"	"GWASdb"	18593715
"89"	"GWASdb"	18216723
"90"	"GWASdb"	23568457
"91"	"GWASdb"	22911880
"92"	"GWASdb"	22780124
"93"	"GWASdb"	20520587
"94"	"GWASdb"	22754043
"95"	"GWASdb"	23594818
"96"	"GWASdb"	18385739
"97"	"GWASdb"	22524403
"98"	"GWASdb"	17158188
"99"	"GWASdb"	18227835
"100"	"GWASdb"	17407593
"101"	"GWASdb"	19268276
"102"	"GWASdb"	24143882
"103"	"GWASdb"	23183491
"104"	"GWASdb"	22952603
"105"	"GWASdb"	23643383
"106"	"GWASdb"	22377092
"107"	"GWASdb"	23542338
